ofns_desc,0
ADMINISTRATIVE CODE,262
AGRICULTURE & MRKTS LAW-UNCLASSIFIED,20
ALCOHOLIC BEVERAGE CONTROL LAW,16
ANTICIPATORY OFFENSES,1
ARSON,172
ASSAULT 3 & RELATED OFFENSES,10995
BURGLAR'S TOOLS,59
BURGLARY,2490
CHILD ABANDONMENT/NON SUPPORT,5
CRIMINAL MISCHIEF & RELATED OF,9668
CRIMINAL TRESPASS,632
DANGEROUS DRUGS,2664
DANGEROUS WEAPONS,1026
DISORDERLY CONDUCT,1
DISRUPTION OF A RELIGIOUS SERV,2
ENDAN WELFARE INCOMP,10
ESCAPE 3,1
FELONY ASSAULT,4208
FELONY SEX CRIMES,4
FORGERY,805
FRAUDS,342
FRAUDULENT ACCOSTING,37
GAMBLING,32
GRAND LARCENY,9449
GRAND LARCENY OF MOTOR VEHICLE,1276
HARRASSMENT 2,15408
"HOMICIDE-NEGLIGENT,UNCLASSIFIE",1
INTOXICATED & IMPAIRED DRIVING,828
JOSTLING,6
KIDNAPPING,4
KIDNAPPING & RELATED OFFENSES,15
MISCELLANEOUS PENAL LAW,2893
MURDER & NON-NEGL. MANSLAUGHTER,54
NYS LAWS-UNCLASSIFIED FELONY,135
NYS LAWS-UNCLASSIFIED VIOLATION,2
OFF. AGNST PUB ORD SENSBLTY &,3538
OFFENSES AGAINST PUBLIC ADMINI,1454
OFFENSES AGAINST PUBLIC SAFETY,7
OFFENSES AGAINST THE PERSON,197
OFFENSES INVOLVING FRAUD,147
OFFENSES RELATED TO CHILDREN,7
OTHER OFFENSES RELATED TO THEF,255
OTHER STATE LAWS,4
OTHER STATE LAWS (NON PENAL LA,52
PETIT LARCENY,20044
PETIT LARCENY OF MOTOR VEHICLE,14
POSSESSION OF STOLEN PROPERTY,270
PROSTITUTION & RELATED OFFENSES,7
RAPE,219
ROBBERY,3196
SEX CRIMES,1181
THEFT OF SERVICES,115
THEFT-FRAUD,652
UNAUTHORIZED USE OF A VEHICLE,299
VEHICLE AND TRAFFIC LAWS,1532
